Provinsi,Kab/Kota,latitude,longitude
JAWA TENGAH,KEBUMEN,-7.654989384786925,109.61735609823192
JAWA TENGAH,KENDAL,-7.0387187805090825,110.15733776798037
JAWA TENGAH,KLATEN,-7.685830745365867,110.61945331068391
JAWA TENGAH,KOTA MAGELANG,-7.476555709258601,110.2201113585226
JAWA TENGAH,KOTA PEKALONGAN,-6.893409948156509,109.67715498930086
JAWA TENGAH,KOTA SALATIGA,-7.337679705710437,110.49837395593003
JAWA TENGAH,KOTA SEMARANG,-7.02390449943674,110.3915219686759
JAWA TENGAH,KOTA SURAKARTA,-7.557894806643449,110.82314485204168
JAWA TENGAH,KOTA TEGAL,-6.8691751518962665,109.11574700047042
JAWA TENGAH,KUDUS,-6.790279547425912,110.8699051620288
JAWA TENGAH,MAGELANG,-7.501759048520372,110.24721175005136
JAWA TENGAH,PATI,-6.743389875519347,111.0422832565795
JAWA TENGAH,PEKALONGAN,-7.057032028159371,109.62050186354834
JAWA TENGAH,PEMALANG,-7.036848556900133,109.39515996856609
JAWA TENGAH,PURBALINGGA,-7.323247798908376,109.40720551626626
JAWA TENGAH,PURWOREJO,-7.700407918487417,109.96612653973921
JAWA TENGAH,REMBANG,-6.775146217980383,111.461518939186
JAWA TENGAH,SEMARANG,-7.270928486004705,110.47351532957184
JAWA TENGAH,SRAGEN,-7.385353425643399,110.97414524104381
JAWA TENGAH,SUKOHARJO,-7.680860488159757,110.83483711038875
JAWA TENGAH,TEGAL,-7.0288053320968915,109.15850766251681
JAWA TENGAH,TEMANGGUNG,-7.257714832923476,110.13630652023235
JAWA TENGAH,WONOGIRI,-7.919329565759291,110.99919480766312
JAWA TENGAH,WONOSOBO,-7.4163335532160115,109.90735180498817
JAWA TIMUR,BANGKALAN,-7.0443575083191625,112.9295323781519
JAWA TIMUR,BANYUWANGI,-8.364828051065416,114.20590064728977
JAWA TIMUR,BLITAR,-8.131053741101047,112.23721591640728
JAWA TIMUR,BOJONEGORO,-7.255608194512492,111.80986719525585
JAWA TIMUR,BONDOWOSO,-7.943712785042586,113.94770725091931
JAWA TIMUR,GRESIK,-6.927041213327741,112.55860428200316
JAWA TIMUR,JEMBER,-8.235203896502664,113.65595071113712
JAWA TIMUR,JOMBANG,-7.544678451644581,112.26409573611402
JAWA TIMUR,KEDIRI,-7.8287216582084564,112.08921660547334
JAWA TIMUR,KOTA BATU,-7.834684964626428,112.53375478015384
JAWA TIMUR,KOTA BLITAR,-8.094767817197894,112.16697095993021
JAWA TIMUR,KOTA KEDIRI,-7.826371927685874,112.01612442246851
JAWA TIMUR,KOTA MADIUN,-7.629455300124163,111.52726704099314
JAWA TIMUR,KOTA MALANG,-7.978304430833701,112.6359074690354
JAWA TIMUR,KOTA MOJOKERTO,-7.471389594957779,112.43750775182501
JAWA TIMUR,KOTA PASURUAN,-7.64957319825595,112.9100045191957
JAWA TIMUR,KOTA PROBOLINGGO,-7.773812124642855,113.20546891018134
JAWA TIMUR,KOTA SURABAYA,-7.274328016118136,112.72358572451263
JAWA TIMUR,LAMONGAN,-7.131469464275682,112.30073550107906
JAWA TIMUR,LUMAJANG,-8.125480997231348,113.13848937381668
JAWA TIMUR,MADIUN,-7.623649069627096,111.64585034960581
JAWA TIMUR,MAGETAN,-7.6633952923628,111.35743078511908
JAWA TIMUR,MALANG,-8.126035414015297,112.6409269189061
JAWA TIMUR,MOJOKERTO,-7.550736022813227,112.48444691474046
JAWA TIMUR,NGANJUK,-7.597532620517015,111.93853422910777
JAWA TIMUR,NGAWI,-7.438844736363366,111.3434149698659
JAWA TIMUR,PACITAN,-8.124979524710609,111.17808125572927
JAWA TIMUR,PAMEKASAN,-7.065251890111297,113.50404178682817
JAWA TIMUR,PASURUAN,-7.742461231279714,112.83185168142178
JAWA TIMUR,PONOROGO,-7.931362523095897,111.49952328142574
JAWA TIMUR,PROBOLINGGO,-7.8664311120226795,113.32023176922579
JAWA TIMUR,SAMPANG,-7.052056582692388,113.25633666179725
JAWA TIMUR,SIDOARJO,-7.451484500453831,112.70030484151994
JAWA TIMUR,SITUBONDO,-7.801458845591047,114.05137528882392
JAWA TIMUR,SUMENEP,-6.966473227747742,114.40311118081027
JAWA TIMUR,TRENGGALEK,-8.160699900481177,111.62731046671864
JAWA TIMUR,TUBAN,-6.953438095227889,111.89225098243227
JAWA TIMUR,TULUNGAGUNG,-8.11351689057314,111.88772958527363
